rep,test.strategy,location,infectious_period,gamma,R0,prop.testing,infections,missed.infections,hospitalizations,ICU,deaths,days.quarantine,days.false.quarantine,time.waiting,n.reflexes,n.tests,n.alt.tests,positive.tests,negative.tests,caught.infs
1,PCR,dorm,4.29582048388106,0.246386115740506,1.34887646569014,0.05,1255,1049,48.945,11.64891,0.1255,5936,5507,51054,0,28514,,592,27922,206
2,PCR,dorm,4.31204972802231,0.245285071406572,1.3487765366696,0.05,1139,914,44.421,10.572198,0.1139,5824,5432,52416,0,28699,,571,28128,225
3,PCR,dorm,4.31825440831851,0.244853470953969,1.35154266170011,0.05,1146,941,44.694,10.637172,0.1146,5711,5312,52356,0,28593,,571,28022,205
4,PCR,dorm,4.30655202571993,0.245534406568997,1.35286189670726,0.05,1433,1189,55.887,13.301106,0.1433,6608,6165,50573,0,28144,,662,27482,243
5,PCR,dorm,4.3053605128758,0.245796304783003,1.35015154456769,0.05,1080,878,42.12,10.02456,0.108,5396,4982,51502,0,28591,,551,28040,202
6,PCR,dorm,4.30452506968826,0.245919586674069,1.35026747641748,0.05,1324,1083,51.636,12.289368,0.1324,6439,6011,52665,0,28887,,646,28241,241
7,PCR,dorm,4.30378641597665,0.245761391337529,1.34760527257027,0.05,1339,1095,52.221,12.428598,0.1339,6407,5959,51832,0,28817,,637,28180,244
8,PCR,dorm,4.30936734096824,0.245415170336904,1.35079032928106,0.05,1344,1092,52.416,12.475008,0.1344,6631,6159,52001,0,28336,,675,27661,252
9,PCR,dorm,4.30773375439443,0.24537874645536,1.35066338854809,0.05,1306,1084,50.934,12.122292,0.1306,6405,5957,52666,0,28763,,634,28129,222
10,PCR,dorm,4.32354611329449,0.244593866977847,1.34669877618296,0.05,1262,1055,49.218,11.713884,0.1262,5477,5106,52226,0,28648,,550,28098,207
11,PCR,dorm,4.32577657792559,0.244398396981782,1.34690911891691,0.05,1317,1083,51.363,12.224394,0.1317,6533,6072,52345,0,28826,,655,28171,234
12,PCR,dorm,4.29614334230767,0.246038468314906,1.34721047774709,0.05,1257,1049,49.023,11.667474,0.1257,5663,5269,52664,0,28733,,577,28156,208
13,PCR,dorm,4.32309804490494,0.244446364894129,1.35161243724743,0.05,1250,1007,48.75,11.6025,0.125,6695,6263,51384,0,28462,,666,27796,243
14,PCR,dorm,4.29910851169769,0.246427645804591,1.34806234489623,0.05,1162,952,45.318,10.785684,0.1162,5603,5233,51611,0,28649,,563,28086,210
15,PCR,dorm,4.29075925777646,0.246737588858545,1.34906656305179,0.05,1164,959,45.396,10.804248,0.1164,5788,5400,52279,0,28973,,581,28392,205
16,PCR,dorm,4.31976105938541,0.244575618417427,1.34896348019417,0.05,1213,984,47.307,11.259066,0.1213,6329,5858,51662,0,28436,,628,27808,229
17,PCR,dorm,4.26601430564754,0.248198175094609,1.34947212721412,0.05,1354,1110,52.806,12.567828,0.1354,6466,5988,52273,0,28774,,643,28131,244
18,PCR,dorm,4.31083864331356,0.24538786300399,1.34954981250589,0.05,1270,1023,49.53,11.78814,0.127,6478,6003,51804,0,28505,,633,27872,247
19,PCR,dorm,4.29434268186061,0.246451440411228,1.35010620792066,0.05,1143,911,44.577,10.609326,0.1143,5586,5130,51299,0,28322,,552,27770,232
20,PCR,dorm,4.3218161468135,0.24478067573418,1.34955140452513,0.05,1318,1082,51.402,12.233676,0.1318,6338,5852,51291,0,28648,,644,28004,236
21,PCR,dorm,4.28553772715321,0.246559316897644,1.35194643472341,0.05,1375,1115,53.625,12.76275,0.1375,6853,6335,51069,0,28551,,680,27871,260
22,PCR,dorm,4.29660290549585,0.246177683247104,1.35040263044765,0.05,1329,1074,51.831,12.335778,0.1329,6637,6142,52269,0,28510,,660,27850,255
23,PCR,dorm,4.30569626183777,0.245640563246701,1.34915465197069,0.05,1307,1040,50.973,12.131574,0.1307,6786,6274,51842,0,28743,,680,28063,267
24,PCR,dorm,4.29009119408663,0.246438742077929,1.34732617672491,0.05,1433,1182,55.887,13.301106,0.1433,7056,6547,51746,0,28585,,717,27868,251
25,PCR,dorm,4.30761463774832,0.245284891134338,1.34981755231676,0.05,1326,1097,51.714,12.307932,0.1326,6638,6183,52164,0,28937,,658,28279,229
26,PCR,dorm,4.29631257301554,0.246399124798266,1.34813689539284,0.05,1085,879,42.315,10.07097,0.1085,5658,5246,52607,0,28843,,548,28295,206
27,PCR,dorm,4.27960750411414,0.247018446393075,1.34954300491902,0.05,1349,1079,52.611,12.521418,0.1349,7039,6528,51697,0,28545,,693,27852,270
28,PCR,dorm,4.29150539612287,0.246214587662704,1.35250004684262,0.05,1277,1017,49.803,11.853114,0.1277,6805,6355,51675,0,28491,,673,27818,260
29,PCR,dorm,4.30610027263241,0.246092426362101,1.35177721910003,0.05,1389,1140,54.171,12.892698,0.1389,6942,6450,52273,0,28760,,692,28068,249
30,PCR,dorm,4.3177650205498,0.244948876859427,1.35158196245684,0.05,1309,1085,51.051,12.150138,0.1309,6375,5940,51931,0,28798,,637,28161,224
31,PCR,dorm,4.29309463287835,0.24634076061627,1.34967910490897,0.05,1430,1167,55.77,13.27326,0.143,7187,6724,52441,0,28934,,714,28220,263
32,PCR,dorm,4.30006590638607,0.246138987251431,1.34801839069488,0.05,1317,1062,51.363,12.224394,0.1317,7013,6508,51941,0,28614,,673,27941,255
33,PCR,dorm,4.31993276563206,0.244886175822034,1.35095552163855,0.05,1344,1114,52.416,12.475008,0.1344,6510,6047,51917,0,28680,,673,28007,230
34,PCR,dorm,4.28791199590148,0.246651677718847,1.35157355208684,0.05,1363,1120,53.157,12.651366,0.1363,6688,6225,51818,0,28704,,675,28029,243
35,PCR,dorm,4.28403302707025,0.246410131173136,1.35080338460522,0.05,1355,1097,52.845,12.57711,0.1355,6578,6035,52550,0,28767,,662,28105,258
36,PCR,dorm,4.28294591648324,0.247067282270835,1.34985683415917,0.05,1405,1149,54.795,13.04121,0.1405,6867,6382,51625,0,28708,,698,28010,256
37,PCR,dorm,4.29489234071973,0.246342710529467,1.35093921502241,0.05,1330,1061,51.87,12.34506,0.133,6977,6490,51319,0,28332,,711,27621,269
38,PCR,dorm,4.29218637104035,0.246728448574486,1.34924817692597,0.05,1410,1143,54.99,13.08762,0.141,6543,6046,51208,0,28584,,676,27908,261
39,PCR,dorm,4.30014864325149,0.246132541416273,1.3488051776507,0.05,1335,1084,52.065,12.39147,0.1335,6811,6331,51601,0,28600,,703,27897,251
40,PCR,dorm,4.28752751996767,0.246573313739213,1.35071502784471,0.05,1388,1151,54.132,12.883416,0.1388,6718,6242,52352,0,28795,,683,28112,237
41,PCR,dorm,4.30863114856627,0.245380448372571,1.34835377712614,0.05,1135,915,44.265,10.53507,0.1135,5548,5145,51737,0,28654,,550,28104,219
42,PCR,dorm,4.30232540847923,0.24574716311799,1.34872716317146,0.05,1327,1091,51.753,12.317214,0.1327,6804,6371,51618,0,28893,,659,28234,236
43,PCR,dorm,4.31207290185289,0.245204786228566,1.34814839235715,0.05,1299,1025,50.661,12.057318,0.1299,6960,6397,52578,0,28701,,684,28017,274
44,PCR,dorm,4.31777324457039,0.245023835614747,1.34824803352972,0.05,1505,1255,58.695,13.96941,0.1505,7294,6801,52213,0,28702,,735,27967,250
45,PCR,dorm,4.27718716574827,0.246994118790172,1.34882959809214,0.05,1516,1243,59.124,14.071512,0.1516,7236,6743,51914,0,28594,,720,27874,273
46,PCR,dorm,4.30492920379483,0.245602785143028,1.35016407952812,0.05,1118,881,43.602,10.377276,0.1118,5633,5174,51580,0,28622,,555,28067,237
47,PCR,dorm,4.28268468025754,0.246901880452031,1.34976364446474,0.05,961,771,37.479,8.920002,0.0961,5016,4611,51741,0,28647,,490,28157,190
48,PCR,dorm,4.32253811890653,0.244496402537277,1.34996122046984,0.05,1361,1125,53.079,12.632802,0.1361,6735,6301,52694,0,28874,,659,28215,236
49,PCR,dorm,4.3012034326688,0.245867368156455,1.3524782098722,0.05,1269,1021,49.491,11.778858,0.1269,6308,5856,52252,0,28611,,627,27984,248
50,PCR,dorm,4.33373923662023,0.243946270051045,1.34748528277666,0.05,1047,852,40.833,9.718254,0.1047,5147,4736,51942,0,28689,,515,28174,195
51,PCR,dorm,4.28994517415758,0.246650887670248,1.3497088740749,0.05,1088,896,42.432,10.098816,0.1088,5655,5261,52022,0,28795,,558,28237,192
