rep,test.strategy,location,infectious_period,gamma,R0,prop.testing,infections,missed.infections,hospitalizations,ICU,deaths,days.quarantine,days.false.quarantine,time.waiting,n.reflexes,n.tests,n.alt.tests,positive.tests,negative.tests,caught.infs
1,PCR,dorm,4.30529447624418,0.245710592440518,1.34949347820144,0.02,1559,1448,60.801,14.470638,0.1559,29030,28823,21701,0,11308,,2724,8584,111
2,PCR,dorm,4.29607279479585,0.246388113557888,1.34945490929163,0.02,1545,1415,60.255,14.34069,0.1545,28810,28580,21907,0,11296,,2732,8564,130
3,PCR,dorm,4.32731994094949,0.244504791363433,1.35085564947017,0.02,1425,1317,55.575,13.22685,0.1425,27941,27714,22450,0,11574,,2639,8935,108
4,PCR,dorm,4.29028554573385,0.246735239731206,1.35072831685336,0.02,1675,1551,65.325,15.54735,0.1675,34418,34203,22262,0,11480,,3244,8236,124
5,PCR,dorm,4.3063544588863,0.245668295955068,1.35045164913296,0.02,1454,1347,56.706,13.496028,0.1454,28126,27926,22026,0,11387,,2630,8757,107
6,PCR,dorm,4.28494323343204,0.247041993478771,1.35152491174519,0.02,1651,1533,64.389,15.324582,0.1651,31651,31433,22132,0,11472,,3010,8462,118
7,PCR,dorm,4.33543807712923,0.243995363269243,1.34766606392246,0.02,1440,1333,56.16,13.36608,0.144,28655,28449,21972,0,11377,,2690,8687,107
8,PCR,dorm,4.31424280447118,0.245016387820279,1.35081941551768,0.02,1402,1276,54.678,13.013364,0.1402,27502,27285,21980,0,11446,,2577,8869,126
9,PCR,dorm,4.28287859022897,0.247069538173823,1.35102382595587,0.02,1598,1482,62.322,14.832636,0.1598,31426,31257,21508,0,11509,,2911,8598,116
10,PCR,dorm,4.30540999335249,0.245844417698238,1.35012298391726,0.02,1635,1496,63.765,15.17607,0.1635,32876,32628,22391,0,11657,,3090,8567,139
11,PCR,dorm,4.32276655961477,0.244587663907285,1.34961309086565,0.02,1451,1326,56.589,13.468182,0.1451,29092,28886,21915,0,11508,,2722,8786,125
12,PCR,dorm,4.308379965389,0.245319003159527,1.35097275318267,0.02,1402,1280,54.678,13.013364,0.1402,26527,26305,22125,0,11438,,2482,8956,122
13,PCR,dorm,4.30017589396122,0.245924311557773,1.35089195349154,0.02,1454,1347,56.706,13.496028,0.1454,27596,27415,21473,0,11403,,2590,8813,107
14,PCR,dorm,4.30823123919891,0.24511722343239,1.35377782567861,0.02,1538,1393,59.982,14.275716,0.1538,29050,28798,22031,0,11460,,2754,8706,145
15,PCR,dorm,4.30988738416249,0.245286589729432,1.34858121805902,0.02,1462,1334,57.018,13.570284,0.1462,28499,28298,22175,0,11478,,2680,8798,128
16,PCR,dorm,4.30853906043103,0.245770111345757,1.35149658677776,0.02,1341,1226,52.299,12.447162,0.1341,25719,25524,21714,0,11305,,2410,8895,115
17,PCR,dorm,4.28349515934158,0.246698998593105,1.34636668562007,0.02,1583,1436,61.737,14.693406,0.1583,30554,30261,22048,0,11442,,2874,8568,147
18,PCR,dorm,4.33088488431466,0.24421607372996,1.34792799431491,0.02,1742,1613,67.938,16.169244,0.1742,34273,34075,21538,0,11353,,3195,8158,129
19,PCR,dorm,4.30385542680971,0.24564186713419,1.34965758417332,0.02,1447,1324,56.433,13.431054,0.1447,25672,25461,22260,0,11610,,2434,9176,123
20,PCR,dorm,4.2916870871068,0.246420449782954,1.35193981029852,0.02,1570,1449,61.23,14.57274,0.157,29138,28903,21815,0,11409,,2739,8670,121
