rep,test.strategy,location,infectious_period,gamma,R0,prop.testing,infections,missed.infections,hospitalizations,ICU,deaths,days.quarantine,days.false.quarantine,time.waiting,n.reflexes,n.tests,n.alt.tests,positive.tests,negative.tests,caught.infs
1,PCR,dorm,4.31890056899191,0.244992422533797,1.34972230361526,0.02,1484,1353,57.876,13.774488,0.1484,3715,3445,11356,0,11335,,332,11003,131
2,PCR,dorm,4.30054051587543,0.246171289614745,1.34622772433868,0.02,1626,1511,63.414,15.092532,0.1626,3998,3790,11388,0,11344,,343,11001,115
3,PCR,dorm,4.307049280876,0.245283489645054,1.34934538882224,0.02,1515,1388,59.085,14.06223,0.1515,3454,3228,11128,0,11334,,293,11041,127
4,PCR,dorm,4.312681097099,0.245108776279244,1.35043876255395,0.02,1678,1548,65.442,15.575196,0.1678,3886,3608,11296,0,11473,,337,11136,130
5,PCR,dorm,4.31504401725458,0.24507395300077,1.34901595756922,0.02,1321,1213,51.519,12.261522,0.1321,2837,2610,11314,0,11349,,249,11100,108
6,PCR,dorm,4.29011723001938,0.24644104349006,1.35160525459832,0.02,1688,1571,65.832,15.668016,0.1688,4390,4162,11288,0,11364,,369,10995,117
7,PCR,dorm,4.31323411645808,0.244730857720091,1.34855906545879,0.02,1617,1487,63.063,15.008994,0.1617,4063,3802,10982,0,11386,,346,11040,130
8,PCR,dorm,4.36652900384738,0.242212703995508,1.34718542652061,0.02,1645,1504,64.155,15.26889,0.1645,4345,4081,11299,0,11401,,374,11027,141
9,PCR,dorm,4.33000857723946,0.244060981727995,1.3452072276838,0.02,1484,1367,57.876,13.774488,0.1484,3546,3358,11312,0,11318,,311,11007,117
10,PCR,dorm,4.29640050700786,0.246105285619684,1.34897917541491,0.02,1632,1480,63.648,15.148224,0.1632,4297,4023,11381,0,11552,,382,11170,152
11,PCR,dorm,4.30762029198089,0.245652909298643,1.34864844780136,0.02,1668,1531,65.052,15.482376,0.1668,3934,3691,11506,0,11514,,338,11176,137
12,PCR,dorm,4.32247000568684,0.244608889897995,1.34688188231541,0.02,1514,1376,59.046,14.052948,0.1514,3736,3447,11040,0,11505,,331,11174,138
13,PCR,dorm,4.30920785876469,0.24506742111973,1.34951207663576,0.02,1575,1459,61.425,14.61915,0.1575,3928,3713,11535,0,11522,,341,11181,116
14,PCR,dorm,4.30744409774556,0.245537284998489,1.34825180457905,0.02,1379,1251,53.781,12.799878,0.1379,3546,3320,11271,0,11549,,310,11239,128
15,PCR,dorm,4.27816885239668,0.247453574323809,1.34772105541677,0.02,1577,1463,61.503,14.637714,0.1577,3618,3431,11007,0,11458,,315,11143,114
16,PCR,dorm,4.323462646155,0.244517125402666,1.3491960208161,0.02,1415,1297,55.185,13.13403,0.1415,3632,3407,11380,0,11511,,310,11201,118
17,PCR,dorm,4.27592021805437,0.247691689363067,1.35030150247948,0.02,1542,1418,60.138,14.312844,0.1542,4126,3877,11132,0,11429,,358,11071,124
18,PCR,dorm,4.31019407210115,0.244857997617788,1.34902675539861,0.02,1606,1487,62.634,14.906892,0.1606,4000,3759,11071,0,11312,,332,10980,119
19,PCR,dorm,4.29968679026044,0.245828336617481,1.3486668833213,0.02,1627,1490,63.453,15.101814,0.1627,3846,3638,11525,0,11582,,343,11239,137
20,PCR,dorm,4.29168314508699,0.246595982121338,1.35047854735744,0.02,1515,1381,59.085,14.06223,0.1515,3994,3738,11211,0,11443,,348,11095,134
21,PCR,dorm,4.29481916618922,0.246502445721016,1.34850440365194,0.02,1670,1545,65.13,15.50094,0.167,3833,3582,11469,0,11496,,331,11165,125
22,PCR,dorm,4.30502236975103,0.245408443195917,1.35237180149564,0.02,1642,1512,64.038,15.241044,0.1642,3792,3553,11305,0,11576,,330,11246,130
23,PCR,dorm,4.32058858568949,0.244943169189692,1.35046765541888,0.02,1533,1393,59.787,14.229306,0.1533,4090,3835,11010,0,11426,,358,11068,140
24,PCR,dorm,4.30848153047759,0.245377499500493,1.35031649533996,0.02,1581,1449,61.659,14.674842,0.1581,3946,3691,11233,0,11652,,351,11301,132
25,PCR,dorm,4.31444891534086,0.245195674404682,1.34822412293759,0.02,1592,1476,62.088,14.776944,0.1592,3999,3785,11432,0,11490,,346,11144,116
26,PCR,dorm,4.29712608183158,0.246068485079686,1.35028966821686,0.02,1454,1342,56.706,13.496028,0.1454,3415,3209,10980,0,11394,,303,11091,112
27,PCR,dorm,4.31558973620338,0.244972225426444,1.35117516737281,0.02,1663,1530,64.857,15.435966,0.1663,4391,4127,11091,0,11553,,374,11179,133
28,PCR,dorm,4.26975901923413,0.248160965634388,1.35044155163781,0.02,1630,1507,63.57,15.12966,0.163,3928,3692,11222,0,11407,,335,11072,123
29,PCR,dorm,4.27845227172372,0.247425936807232,1.34795183583462,0.02,1641,1508,63.999,15.231762,0.1641,4427,4199,11189,0,11361,,379,10982,133
30,PCR,dorm,4.30479214961284,0.245532879532341,1.35296741666758,0.02,1539,1423,60.021,14.284998,0.1539,3804,3550,11228,0,11525,,338,11187,116
31,PCR,dorm,4.29431465779588,0.246932802233738,1.35168604565197,0.02,1594,1459,62.166,14.795508,0.1594,3819,3560,11227,0,11489,,329,11160,135
32,PCR,dorm,4.29940970959871,0.246252160999357,1.34806677338643,0.02,1531,1401,59.709,14.210742,0.1531,4097,3877,11106,0,11457,,356,11101,130
33,PCR,dorm,4.31360066920024,0.244974806013155,1.35043147689428,0.02,1614,1488,62.946,14.981148,0.1614,3819,3553,11315,0,11448,,332,11116,126
34,PCR,dorm,4.30942137392083,0.245643537001992,1.35030190443722,0.02,1474,1364,57.486,13.681668,0.1474,3490,3296,11100,0,11306,,298,11008,109
35,PCR,dorm,4.30616118915011,0.245727456104254,1.34878933166972,0.02,1565,1453,61.035,14.52633,0.1565,3530,3313,11383,0,11357,,314,11043,112
36,PCR,dorm,4.28021824094786,0.247298249505014,1.34912851202257,0.02,1590,1453,62.01,14.75838,0.159,3901,3662,11247,0,11491,,346,11145,137
37,PCR,dorm,4.30723875262752,0.245438656449944,1.35142332408482,0.02,1527,1418,59.553,14.173614,0.1527,3954,3734,10993,0,11246,,335,10911,109
