rep,test.strategy,location,infectious_period,gamma,R0,prop.testing,infections,missed.infections,hospitalizations,ICU,deaths,days.quarantine,days.false.quarantine,time.waiting,n.reflexes,n.tests,n.alt.tests,positive.tests,negative.tests,caught.infs
1,none,NH,4.27974875604015,0.2476906206981,1.34708301628465,0,31,31,7.75,2.73575,1.674,0,0,0,0,0,,0,0,0
2,none,NH,4.38014408317072,0.240205247088837,1.35229961710065,0,10,10,2.5,0.8825,0.54,0,0,0,0,0,,0,0,0
3,none,NH,4.20278269040426,0.248951121515802,1.34815881459646,0,9,9,2.25,0.79425,0.486,0,0,0,0,0,,0,0,0
4,none,NH,4.48947011763461,0.233556876689576,1.37043744376861,0,55,55,13.75,4.85375,2.97,0,0,0,0,0,,0,0,0
5,none,NH,4.1986903791219,0.252044061836194,1.35490727315191,0,66,66,16.5,5.8245,3.564,0,0,0,0,0,,0,0,0
6,none,NH,4.20684236836675,0.251689986708923,1.34410487474104,0,70,70,17.5,6.1775,3.78,0,0,0,0,0,,0,0,0
7,none,NH,4.27628142108154,0.247906070624707,1.35856540560224,0,36,36,9,3.177,1.944,0,0,0,0,0,,0,0,0
8,none,NH,4.22655159494941,0.249917892541823,1.34658323886256,0,32,32,8,2.824,1.728,0,0,0,0,0,,0,0,0
9,none,NH,4.16185064238524,0.252858510445891,1.3558613746102,0,7,7,1.75,0.61775,0.378,0,0,0,0,0,,0,0,0
10,none,NH,4.48646971337811,0.23256640744211,1.35451173275124,0,46,46,11.5,4.0595,2.484,0,0,0,0,0,,0,0,0
11,none,NH,4.18028910089939,0.255336215345869,1.3459270779652,0,44,44,11,3.883,2.376,0,0,0,0,0,,0,0,0
12,none,NH,4.22077829384356,0.251446494717376,1.34046673869834,0,49,49,12.25,4.32425,2.646,0,0,0,0,0,,0,0,0
13,none,NH,4.31580411580594,0.245764253882401,1.33778316659166,0,57,57,14.25,5.03025,3.078,0,0,0,0,0,,0,0,0
14,none,NH,4.36286194247452,0.241085540303341,1.35011599859509,0,42,42,10.5,3.7065,2.268,0,0,0,0,0,,0,0,0
15,none,NH,4.24897646750093,0.250100289470531,1.35198282455094,0,54,54,13.5,4.7655,2.916,0,0,0,0,0,,0,0,0
16,none,NH,4.06287521370456,0.258883994475001,1.33866111687039,0,68,68,17,6.001,3.672,0,0,0,0,0,,0,0,0
17,none,NH,4.18518425477438,0.253198002981517,1.34461659588275,0,59,59,14.75,5.20675,3.186,0,0,0,0,0,,0,0,0
18,none,NH,4.31461544679201,0.245077248342276,1.34874868002988,0,59,59,14.75,5.20675,3.186,0,0,0,0,0,,0,0,0
19,none,NH,4.25495559069199,0.247620968262128,1.34327091373651,0,64,64,16,5.648,3.456,0,0,0,0,0,,0,0,0
20,none,NH,4.33306321105228,0.244266522928579,1.34560000682111,0,45,45,11.25,3.97125,2.43,0,0,0,0,0,,0,0,0
21,none,NH,4.42351239279217,0.237256542812123,1.34165893054779,0,63,63,15.75,5.55975,3.402,0,0,0,0,0,,0,0,0
22,none,NH,4.2156723935655,0.25052661526064,1.33815297512084,0,61,61,15.25,5.38325,3.294,0,0,0,0,0,,0,0,0
23,none,NH,4.35560510526135,0.242893271919047,1.33995051264053,0,14,14,3.5,1.2355,0.756,0,0,0,0,0,,0,0,0
24,none,NH,4.32956326682821,0.245061992212961,1.35194970813492,0,50,50,12.5,4.4125,2.7,0,0,0,0,0,,0,0,0
25,none,NH,4.23834838760316,0.251338837674751,1.3502757249483,0,61,61,15.25,5.38325,3.294,0,0,0,0,0,,0,0,0
26,none,NH,4.24711766494899,0.246283762440297,1.33961008400979,0,60,60,15,5.295,3.24,0,0,0,0,0,,0,0,0
27,none,NH,4.32417436000928,0.245509646736622,1.34994749933329,0,68,68,17,6.001,3.672,0,0,0,0,0,,0,0,0
28,none,NH,4.32299888877355,0.244650488563012,1.35009262362693,0,25,25,6.25,2.20625,1.35,0,0,0,0,0,,0,0,0
29,none,NH,4.40615591067627,0.237465887160047,1.3383538111143,0,67,67,16.75,5.91275,3.618,0,0,0,0,0,,0,0,0
30,none,NH,4.2525745186904,0.247500262199089,1.34460652978344,0,58,58,14.5,5.1185,3.132,0,0,0,0,0,,0,0,0
31,none,NH,4.32848438992866,0.24515463490204,1.35546934567991,0,42,42,10.5,3.7065,2.268,0,0,0,0,0,,0,0,0
32,none,NH,4.31668532402024,0.24511588020293,1.34157958455882,0,8,8,2,0.706,0.432,0,0,0,0,0,,0,0,0
33,none,NH,4.35418845669523,0.24317560402732,1.35370466374898,0,57,57,14.25,5.03025,3.078,0,0,0,0,0,,0,0,0
34,none,NH,4.35756750424568,0.243405027981823,1.34787422332701,0,67,67,16.75,5.91275,3.618,0,0,0,0,0,,0,0,0
35,none,NH,4.25558279444242,0.249485226640759,1.36538905505192,0,37,37,9.25,3.26525,1.998,0,0,0,0,0,,0,0,0
36,none,NH,4.46871156630632,0.237160008755967,1.37030156342506,0,60,60,15,5.295,3.24,0,0,0,0,0,,0,0,0
