rep,test.strategy,location,infectious_period,gamma,R0,prop.testing,infections,missed.infections,hospitalizations,ICU,deaths,days.quarantine,days.false.quarantine,time.waiting,n.reflexes,n.tests,n.alt.tests,positive.tests,negative.tests,caught.infs
1,none,dorm,4.29154949834377,0.246426438519409,1.3521515919636,0,1716,1716,66.924,15.927912,0.1716,0,0,0,0,0,,0,0,0
2,none,dorm,4.26513466649319,0.248356742321641,1.34833169913576,0,1845,1845,71.955,17.12529,0.1845,0,0,0,0,0,,0,0,0
3,none,dorm,4.30798347170385,0.245801579347352,1.34973139313977,0,1685,1685,65.715,15.64017,0.1685,0,0,0,0,0,,0,0,0
4,none,dorm,4.28808498390755,0.246591738075015,1.34711181736567,0,1788,1788,69.732,16.596216,0.1788,0,0,0,0,0,,0,0,0
5,none,dorm,4.29079972565624,0.246537142517263,1.35126913936064,0,1671,1671,65.169,15.510222,0.1671,0,0,0,0,0,,0,0,0
6,none,dorm,4.28688486615398,0.246679717112482,1.34757230386196,0,1618,1618,63.102,15.018276,0.1618,0,0,0,0,0,,0,0,0
7,none,dorm,4.28496370132126,0.247117695040458,1.34884517543222,0,1715,1715,66.885,15.91863,0.1715,0,0,0,0,0,,0,0,0
8,none,dorm,4.33013111978274,0.244583477283408,1.34937998013394,0,1641,1641,63.999,15.231762,0.1641,0,0,0,0,0,,0,0,0
9,none,dorm,4.28606429538849,0.246959899687223,1.35045946551808,0,1709,1709,66.651,15.862938,0.1709,0,0,0,0,0,,0,0,0
10,none,dorm,4.28902979081334,0.246633429779717,1.35093009843154,0,1589,1589,61.971,14.749098,0.1589,0,0,0,0,0,,0,0,0
11,none,dorm,4.30133619521782,0.246257958162147,1.35291936329346,0,1616,1616,63.024,14.999712,0.1616,0,0,0,0,0,,0,0,0
12,none,dorm,4.26779209549478,0.247403452442399,1.34845857915349,0,1736,1736,67.704,16.113552,0.1736,0,0,0,0,0,,0,0,0
13,none,dorm,4.28995299269921,0.246472015518822,1.34956070438757,0,1663,1663,64.857,15.435966,0.1663,0,0,0,0,0,,0,0,0
14,none,dorm,4.29359725092792,0.24654074325007,1.3513438969853,0,1572,1572,61.308,14.591304,0.1572,0,0,0,0,0,,0,0,0
15,none,dorm,4.29588217682804,0.246549129116831,1.35148701159554,0,1749,1749,68.211,16.234218,0.1749,0,0,0,0,0,,0,0,0
16,none,dorm,4.29897814032192,0.246216412610162,1.34977237213392,0,1671,1671,65.169,15.510222,0.1671,0,0,0,0,0,,0,0,0
17,none,dorm,4.26981216955062,0.247774803103261,1.34811729017086,0,1620,1620,63.18,15.03684,0.162,0,0,0,0,0,,0,0,0
18,none,dorm,4.31485171008138,0.245026918713045,1.35028765946086,0,1618,1618,63.102,15.018276,0.1618,0,0,0,0,0,,0,0,0
19,none,dorm,4.30213236176342,0.246193371988385,1.35347733433363,0,1754,1754,68.406,16.280628,0.1754,0,0,0,0,0,,0,0,0
20,none,dorm,4.29866815619384,0.245853050185877,1.34958341116837,0,1757,1757,68.523,16.308474,0.1757,0,0,0,0,0,,0,0,0
21,none,dorm,4.31358381643628,0.245036213468418,1.34725716850494,0,1767,1767,68.913,16.401294,0.1767,0,0,0,0,0,,0,0,0
22,none,dorm,4.27199136929013,0.247718451162906,1.34742699987036,0,1630,1630,63.57,15.12966,0.163,0,0,0,0,0,,0,0,0
23,none,dorm,4.29266852571095,0.246059356626335,1.35184712743475,0,1829,1829,71.331,16.976778,0.1829,0,0,0,0,0,,0,0,0
24,none,dorm,4.2947235937558,0.246227360734751,1.34848014837617,0,1769,1769,68.991,16.419858,0.1769,0,0,0,0,0,,0,0,0
25,none,dorm,4.31473472499926,0.245132168939759,1.34871298368419,0,1708,1708,66.612,15.853656,0.1708,0,0,0,0,0,,0,0,0
26,none,dorm,4.30426087848578,0.245917951739176,1.35039370109088,0,1707,1707,66.573,15.844374,0.1707,0,0,0,0,0,,0,0,0
27,none,dorm,4.2958594780823,0.246122639544589,1.35009266021094,0,1601,1601,62.439,14.860482,0.1601,0,0,0,0,0,,0,0,0
28,none,dorm,4.29592967299566,0.245948725614893,1.35081185379551,0,1690,1690,65.91,15.68658,0.169,0,0,0,0,0,,0,0,0
29,none,dorm,4.29668529163305,0.245852731970301,1.35215080606926,0,1710,1710,66.69,15.87222,0.171,0,0,0,0,0,,0,0,0
30,none,dorm,4.29059088879323,0.246733268042416,1.34768714822008,0,1731,1731,67.509,16.067142,0.1731,0,0,0,0,0,,0,0,0
31,none,dorm,4.30489358738539,0.246082605119201,1.34967639799607,0,1725,1725,67.275,16.01145,0.1725,0,0,0,0,0,,0,0,0
32,none,dorm,4.297910560086,0.245839104481996,1.34941149268847,0,1745,1745,68.055,16.19709,0.1745,0,0,0,0,0,,0,0,0
33,none,dorm,4.28989210046955,0.246329215884796,1.34886316300325,0,1730,1730,67.47,16.05786,0.173,0,0,0,0,0,,0,0,0
34,none,dorm,4.29608256140675,0.245922459541568,1.34841474514497,0,1695,1695,66.105,15.73299,0.1695,0,0,0,0,0,,0,0,0
35,none,dorm,4.31401101711313,0.245381805882391,1.34943102661966,0,1707,1707,66.573,15.844374,0.1707,0,0,0,0,0,,0,0,0
36,none,dorm,4.29246270548923,0.246651548860457,1.35072131751799,0,1609,1609,62.751,14.934738,0.1609,0,0,0,0,0,,0,0,0
