rep,test.strategy,location,infectious_period,gamma,R0,prop.testing,infections,missed.infections,hospitalizations,ICU,deaths,days.quarantine,days.false.quarantine,time.waiting,n.reflexes,n.tests,n.alt.tests,positive.tests,negative.tests,caught.infs
1,PCR,NH,4.26788246218429,0.249054293455135,1.34169633677068,0.02,14,14,3.5,1.2355,0.756,12,12,646,0,381,,1,380,0
2,PCR,NH,4.30169235220926,0.245210218616641,1.34924289747764,0.02,35,30,8.75,3.08875,1.89,103,97,744,0,370,,10,360,5
3,PCR,NH,4.27108115952941,0.247944673518252,1.34016010607616,0.02,69,67,17.25,6.08925,3.726,113,107,809,0,362,,10,352,2
4,PCR,NH,4.37103033221308,0.241121523336738,1.34519495162767,0.02,66,63,16.5,5.8245,3.564,178,172,866,0,394,,17,377,3
5,PCR,NH,4.31188946555018,0.245475975423967,1.3559551462674,0.02,43,40,10.75,3.79475,2.322,67,59,661,0,373,,6,367,3
6,PCR,NH,4.27272981424023,0.246592461051872,1.34191575881144,0.02,37,35,9.25,3.26525,1.998,60,56,749,0,383,,6,377,2
7,PCR,NH,4.32532289359064,0.240804535438017,1.3374522466035,0.02,35,32,8.75,3.08875,1.89,92,88,614,0,373,,8,365,3
8,PCR,NH,4.26860876844984,0.247492555380557,1.34386684196508,0.02,20,18,5,1.765,1.08,77,74,768,0,391,,6,385,2
9,PCR,NH,4.18473457762335,0.252827072245677,1.33341586628057,0.02,38,34,9.5,3.3535,2.052,116,110,650,0,361,,9,352,4
10,PCR,NH,4.18487840666998,0.253444583745475,1.35889287751472,0.02,48,45,12,4.236,2.592,135,128,781,0,378,,12,366,3
11,PCR,NH,4.13050479970522,0.253657388808466,1.34676763259386,0.02,8,7,2,0.706,0.432,21,17,782,0,398,,2,396,1
12,PCR,NH,4.50936655042103,0.232808938770841,1.35459662524472,0.02,61,57,15.25,5.38325,3.294,132,122,761,0,393,,11,382,4
13,PCR,NH,4.46772349420336,0.233597231622072,1.3389058540672,0.02,50,46,12.5,4.4125,2.7,98,95,693,0,356,,10,346,4
14,PCR,NH,4.38162883286927,0.238952994047808,1.34335369818134,0.02,46,41,11.5,4.0595,2.484,137,126,767,0,412,,12,400,5
15,PCR,NH,4.3782852985283,0.241185427875395,1.36502512989884,0.02,49,48,12.25,4.32425,2.646,108,106,722,0,378,,11,367,1
16,PCR,NH,4.2052626107469,0.254337913994451,1.35687653394531,0.02,65,59,16.25,5.73625,3.51,137,126,687,0,356,,12,344,6
17,PCR,NH,4.38383201930515,0.244262542397443,1.34657513640249,0.02,36,32,9,3.177,1.944,102,96,728,0,358,,10,348,4
18,PCR,NH,4.33119122057434,0.24431613383733,1.34556924837554,0.02,19,18,4.75,1.67675,1.026,17,17,745,0,371,,2,369,1
19,PCR,NH,4.28932627637612,0.244820680029026,1.3580389582174,0.02,44,44,11,3.883,2.376,39,39,669,0,353,,6,347,0
20,PCR,NH,4.36755255432846,0.238320061907203,1.35299852768554,0.02,61,59,15.25,5.38325,3.294,167,161,813,0,396,,14,382,2
21,PCR,NH,4.21726317183244,0.249952057256249,1.34122005122977,0.02,12,11,3,1.059,0.648,36,34,618,0,375,,3,372,1
22,PCR,NH,4.24339534743956,0.248309975143366,1.34191304318824,0.02,56,53,14,4.942,3.024,184,175,680,0,354,,16,338,3
23,PCR,NH,4.28965192983609,0.245918138161173,1.35100511237518,0.02,58,52,14.5,5.1185,3.132,97,85,628,0,349,,8,341,6
24,PCR,NH,4.2197920774958,0.25123802691705,1.34064969122779,0.02,58,53,14.5,5.1185,3.132,182,174,703,0,383,,16,367,5
25,PCR,NH,4.37749511996321,0.240374095338383,1.35532075946385,0.02,42,35,10.5,3.7065,2.268,168,155,704,0,366,,15,351,7
26,PCR,NH,4.01117786363662,0.263971953754843,1.34346825995363,0.02,57,52,14.25,5.03025,3.078,213,197,801,0,393,,19,374,5
27,PCR,NH,4.26088868366407,0.249368768774272,1.35962453845607,0.02,29,28,7.25,2.55925,1.566,28,27,709,0,352,,2,350,1
28,PCR,NH,4.15469448696176,0.254316423986098,1.33778078361175,0.02,46,41,11.5,4.0595,2.484,153,143,877,0,400,,13,387,5
29,PCR,NH,4.30944298392272,0.246293347507294,1.35659843578146,0.02,67,61,16.75,5.91275,3.618,210,199,613,0,369,,18,351,6
30,PCR,NH,4.29141478803018,0.248025039982171,1.327602153898,0.02,17,16,4.25,1.50025,0.918,54,52,669,0,367,,5,362,1
31,PCR,NH,4.26228950752158,0.247789726167034,1.34598779609556,0.02,17,15,4.25,1.50025,0.918,54,48,624,0,348,,5,343,2
32,PCR,NH,4.38400780727838,0.240565185267441,1.3501126856278,0.02,52,46,13,4.589,2.808,229,218,737,0,378,,15,363,6
33,PCR,NH,4.44157550588739,0.239771938447467,1.33469381252659,0.02,49,45,12.25,4.32425,2.646,162,157,696,0,387,,15,372,4
